Dataset   Point Species  Nom      T_1           T_2           T_3           T_4           T_5           T_6           T_7           T_8           T_9           T_10
x00204003   9   O2   3.98012   4.42883   4.90017   4.79327   4.68798   4.58343   4.48007   4.37788   4.27687   4.17704   4.07799
x00204003   10   O2   2.75263   3.18436   3.63765   3.53515   3.43374   3.33308   3.23356   3.13519   3.038   2.94165   2.84652
x00204003   11   O2   0.756294   0.991263   1.26311   1.19843   1.13926   1.0785   1.0198   0.963132   0.908465   0.855763   0.805171
x00204003   12   O2   0.459428   0.601898   0.774925   0.733622   0.693947   0.655858   0.619471   0.584578   0.55114   0.519117   0.488608
x00204003   13   O2   0.132264   0.168794   0.214079   0.203172   0.192813   0.182895   0.173404   0.164408   0.15573   0.147517   0.13975
x00204003   14   O2   0.027184   0.034474   0.0434546   0.0412838   0.0392474   0.0372624   0.0354039   0.0335929   0.0319004   0.0302518   0.0286805
x00204003   15   O2   0.0189644   0.0209025   0.0230556   0.0225448   0.0220692   0.0215695   0.0211333   0.020673   0.0202177   0.0197955   0.0193777
x00204003   16   O2   0.045894   0.0471819   0.0485314   0.0482687   0.0479196   0.0476586   0.047355   0.0470523   0.0467506   0.0464928   0.0461929
x00204003   17   O2   0.0334471   0.0340687   0.034696   0.0345479   0.0344001   0.0342895   0.0341422   0.0339953   0.0338487   0.0337024   0.0335564
x00204003   18   O2   0.0567435   0.0572662   0.0578391   0.0577434   0.0576   0.0574568   0.0573614   0.0572185   0.0570758   0.0569808   0.0568384
x00204003   19   O2   0.00683707   0.00696934   0.00711967   0.00708612   0.00705266   0.00701927   0.00698597   0.00695274   0.00691959   0.00688652   0.00685353
x00204004   20   CO   2.36E-26   1.28E-26   6.95E-27   7.95E-27   9.10E-27   1.04E-26   1.19E-26   1.37E-26   1.57E-26   1.80E-26   2.06E-26
x00204004   21   CO   1.61E-17   8.54E-18   4.56E-18   5.24E-18   6.03E-18   6.93E-18   7.97E-18   9.17E-18   1.05E-17   1.21E-17   1.40E-17
x00204004   22   CO   2.12312   2.38715   2.58826   2.54819   2.50561   2.46038   2.41231   2.36123   2.30696   2.24933   2.18811
x00204004   25   CO   8.06597   14.8421   24.6477   22.175   19.8759   17.7431   15.7705   13.9509   12.278   10.7435   9.34211
x00204004   26   CO   4.71152   6.14892   8.01093   7.55504   7.12418   6.7173   6.33295   5.97018   5.62806   5.3045   4.99951
x00204004   27   CO   0.215972   0.104197   0.0264596   0.0399625   0.0557952   0.0737535   0.0936383   0.115256   0.138418   0.163092   0.188972
x00204004   32   CO   3.33016   0.805518   0.00887147   0.0173836   0.125761   0.329702   0.624942   1.00737   1.473   2.01782   2.63808
x00204004   33   CO   14.6783   10.0124   5.98067   6.81169   7.68172   8.58844   9.52966   10.5029   11.5066   12.5382   13.5961
x00204004   34   CO   23.2662   19.2481   15.3574   16.2077   17.0668   17.9338   18.8084   19.6895   20.5765   21.4688   22.3654
x00204004   35   CO   0.487351   0.0825201   0.0233125   0.00273694   0.0021696   0.0207208   0.0575242   0.111767   0.182599   0.269306   0.371137
x00204004   1   O2   0.00222362   0.00222362   0.00222362   0.00222362   0.00222362   0.00222362   0.00222362   0.00222362   0.00222362   0.00222362   0.00222362
x00204004   2   O2   0.00107498   0.00107498   0.00107498   0.00107498   0.00107498   0.00107498   0.00107498   0.00107498   0.00107498   0.00107498   0.00107498
x00204004   3   O2   0.00409995   0.00370255   0.00337004   0.00343755   0.00350574   0.00358613   0.00365576   0.00373784   0.00382084   0.00390474   0.00400175
x00204004   4   O2   0.197455   0.228497   0.252707   0.247883   0.242725   0.237339   0.231549   0.225465   0.21901   0.212204   0.204981
x00204004   5   O2   0.0353962   0.159076   0.3424   0.298219   0.255722   0.215235   0.177097   0.141803   0.109659   0.0809257   0.0560918
x00204004   6   O2   0.576252   0.978897   1.50624   1.37796   1.25604   1.14059   1.03129   0.92824   0.831139   0.740396   0.655366
x00204004   7   O2   0.179295   0.325021   0.527549   0.477125   0.429992   0.385788   0.344547   0.306171   0.27056   0.237621   0.207258
x00204004   8   O2   1.06685   1.27296   1.5079   1.45299   1.39956   1.34779   1.29767   1.2487   1.20132   1.15505   1.11031
x00204004   9   O2   1.94383   2.18509   2.43715   2.37998   2.32379   2.26797   2.21255   2.15781   2.10348   2.04984   1.99662
x00204004   10   O2   1.67799   1.98003   2.29506   2.22404   2.15356   2.08367   2.01437   1.94572   1.87772   1.81041   1.74383
x00204004   11   O2   1.16066   1.45741   1.79307   1.71567   1.63973   1.56551   1.49302   1.42223   1.35317   1.28605   1.22447
x00204004   12   O2   0.339023   0.449301   0.58448   0.552205   0.521125   0.491486   0.462977   0.435829   0.409872   0.38519   0.361506
x00204004   13   O2   0.0859389   0.120584   0.16474   0.154039   0.143844   0.134138   0.124976   0.11627   0.108068   0.100227   0.0929162
x00204004   14   O2   0.021231   0.0285437   0.0376817   0.0354688   0.0333582   0.0313464   0.0294634   0.0276387   0.0259033   0.0242542   0.0227175
x00204004   15   O2   0.000195514   0.000470769   0.000893647   0.00078746   0.000682938   0.000595228   0.000509183   0.00043386   0.000364563   0.000301292   0.000247069
x00204004   16   O2   0.00284376   0.00248556   0.0021336   0.00220547   0.00228774   0.00236213   0.00244724   0.00252417   0.00260228   0.00268158   0.00276208
x00204004   17   O2   0.00841015   0.00821671   0.00800827   0.00804282   0.00809479   0.00814693   0.00818179   0.00823421   0.00826925   0.00832194   0.00837481
x00204004   18   O2   0.0101161   0.0100967   0.0100773   0.0100773   0.0100967   0.0100967   0.0100967   0.0100967   0.0101161   0.0101161   0.0101161
x00204004   19   O2   0.00935501   0.00946727   0.0095802   0.00956133   0.00954248   0.00950484   0.00948605   0.00944851   0.00942978   0.00941106   0.00937368
x00204005   51   CO   3.43825   7.75344   12.9867   11.7673   10.5764   9.41876   8.29813   7.21966   6.18862   5.21057   4.29146
x00204005   52   CO   18.2348   1.44044   0.7806   0.225034   0.00143543   0.184686   0.870941   2.1858   4.297   7.43431   11.9218
